rid,decision,reason
R0001,include,
R0002,include,
R0003,exclude,no-agent
R0004,include,
R0005,pending-abstract,
R0006,exclude,no-agent
R0007,exclude,no-question
R0008,exclude,no-agent
R0009,exclude,not-forest
R0010,exclude,off-topic
R0011,exclude,not-forest
R0012,pending-abstract,
R0013,include,
R0014,include,
R0015,include,
R0016,exclude,off-topic
R0017,pending-abstract,
R0018,exclude,no-question
R0019,exclude,duplicate
R0020,exclude,no-question
R0021,pending-abstract,
R0022,include,
R0023,include,
R0024,exclude,no-agent
R0025,exclude,no-agent
R0026,exclude,not-forest
R0027,exclude,no-agent
R0028,exclude,no-agent
R0029,include,
R0030,exclude,not-forest
R0031,exclude,no-agent
R0032,exclude,no-question
R0033,exclude,not-forest
R0034,include,
R0035,exclude,no-question
R0036,exclude,no-agent
R0037,exclude,no-agent
R0038,exclude,no-question
R0039,exclude,not-forest
R0040,exclude,not-forest
R0041,exclude,no-question
R0042,exclude,no-question
R0043,include,
R0044,include,
R0045,include,
R0046,include,
R0047,exclude,no-question
R0048,include,
R0049,exclude,no-agent
R0050,include,
R0051,include,
R0052,include,
R0053,include,
R0054,include,
R0055,include,
R0056,include,
R0057,exclude,not-forest
R0058,exclude,not-forest
R0059,exclude,not-forest
R0060,include,
R0061,include,
R0062,exclude,not-forest
R0063,pending-abstract,
R0064,include,
R0065,exclude,no-question
R0066,exclude,not-forest
R0067,include,
R0068,include,
R0069,include,
R0070,include,
R0071,exclude,not-research
R0072,exclude,not-forest
R0073,include,
R0074,include,
R0075,exclude,no-question
R0076,include,
R0077,include,
R0078,include,
R0079,include,
R0080,exclude,not-research
R0081,include,
R0082,exclude,not-forest
R0083,include,
R0084,include,
R0085,exclude,off-topic
R0086,exclude,not-forest
R0087,exclude,no-agent
R0088,exclude,no-question
R0089,include,
R0090,exclude,not-forest
R0091,exclude,not-forest
R0092,exclude,no-question
R0093,exclude,off-topic
R0094,include,
R0095,pending-abstract,
R0096,include,
R0097,include,
R0098,exclude,no-agent
R0099,include,
R0100,exclude,no-agent
R0101,exclude,no-agent
R0102,exclude,no-question
R0103,include,
R0104,include,
R0105,include,
R0106,include,
R0107,pending-abstract,
R0108,include,
R0109,include,
R0110,include,
R0111,include,
R0112,include,
R0113,include,
R0114,include,
R0115,include,
R0116,exclude,no-question
R0117,exclude,no-question
R0118,exclude,no-question
R0119,exclude,off-topic
R0120,exclude,no-agent
R0121,exclude,no-agent
R0122,exclude,no-agent
R0123,include,
R0124,exclude,no-question
R0125,include,
R0126,include,
R0127,include,
R0128,exclude,not-research
R0129,include,
R0130,exclude,no-question
R0131,include,
R0132,include,
R0133,include,
R0134,include,
R0135,include,
R0136,include,
R0137,exclude,not-forest
R0138,include,
R0139,include,
R0140,exclude,not-forest
R0141,include,
R0142,exclude,no-agent
R0143,include,
R0144,exclude,no-question
R0145,pending-abstract,
R0146,include,
R0147,include,
R0148,include,
R0149,include,
R0150,include,
R0151,exclude,not-forest
R0152,exclude,no-agent
R0153,include,
R0154,include,
R0155,exclude,off-topic
R0156,pending-abstract,
R0157,include,
R0158,exclude,not-research
R0159,include,
R0160,include,
R0161,include,
R0162,include,
R0163,include,
R0164,exclude,no-agent
R0165,include,
R0166,exclude,no-agent
R0167,include,
R0168,include,
R0169,include,
R0170,include,
R0171,include,
R0172,include,
R0173,include,
R0174,exclude,not-forest
R0175,include,
R0176,include,
R0177,include,
R0178,include,
R0179,include,
R0180,exclude,not-forest
R0181,include,
R0182,include,
R0183,exclude,no-agent
R0184,include,
R0185,exclude,no-question
R0186,exclude,no-agent
R0187,exclude,no-question
R0188,include,
R0189,exclude,not-forest
R0190,exclude,not-forest
R0191,include,
R0192,exclude,no-question
R0193,exclude,no-agent
R0194,exclude,no-question
R0195,pending-abstract,
R0196,include,
R0197,include,
R0198,include,
R0199,include,
R0200,exclude,no-agent
R0201,include,
R0202,exclude,no-sensing
R0203,exclude,no-question
R0204,include,
R0205,exclude,no-agent
R0206,exclude,no-sensing
R0207,pending-abstract,
R0208,include,
R0209,exclude,no-agent
R0210,include,
R0211,exclude,not-forest
R0212,include,
R0213,include,
R0214,include,
R0215,exclude,no-question
R0216,include,
R0217,exclude,not-forest
R0218,include,
R0219,exclude,no-agent
R0220,include,
R0221,include,
R0222,exclude,no-question
R0223,include,
R0224,include,
R0225,exclude,no-question
R0226,include,
R0227,include,
R0228,include,
R0229,exclude,no-question
R0230,include,
R0231,include,
R0232,exclude,not-forest
R0233,exclude,no-agent
R0234,include,
R0235,exclude,no-question
R0236,exclude,duplicate
R0237,exclude,off-topic
R0238,exclude,no-agent
R0239,include,
R0240,exclude,no-agent
R0241,include,
R0242,include,
R0243,exclude,not-forest
R0244,exclude,not-forest
R0245,include,
R0246,include,
R0247,exclude,not-forest
R0248,include,
R0249,exclude,no-question
R0250,include,
R0251,include,
R0252,exclude,off-topic
R0253,exclude,no-agent
R0254,include,
R0255,exclude,no-agent
R0256,include,
R0257,exclude,not-forest
R0258,include,
R0259,include,
R0260,include,
R0261,include,
R0262,include,
R0263,exclude,no-agent
R0264,include,
R0265,include,
R0266,include,
R0267,exclude,not-forest
R0268,include,
R0269,exclude,no-question
R0270,include,
R0271,exclude,off-topic
R0272,exclude,no-agent
R0273,include,
R0274,exclude,no-question
R0275,include,
R0276,exclude,no-agent
R0277,exclude,no-question
R0278,include,
R0279,exclude,no-question
R0280,include,
R0281,include,
R0282,include,
R0283,include,
R0284,include,
R0285,exclude,no-agent
